exp_name,agent_type,backend_model,root_cause_category,root_cause_name,net_env,scenario_topo_size,session_id,in_tokens,out_tokens,steps,tool_calls,tool_errors,time_taken,llm_judge_relevance_score,llm_judge_correctness_score,llm_judge_efficiency_score,llm_judge_clarity_score,llm_judge_final_outcome_score,llm_judge_overall_score,detection_score,localization_accuracy,localization_precision,localization_recall,localization_f1,rca_accuracy,rca_precision,rca_recall,rca_f1,experience_added_count,experience_pool_total_count
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,http_acl_block,ospf_enterprise_dhcp,s,0204195706,7632,652,2,1,0,96.28,3,3,2,4,1,2,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_incorrect_ip,sdn_star,s,0204195917,6024,631,2,1,0,60.08,4,3,4,4,2,3,1.0,1.0,0.5,1.0,0.6667,1.0,0.5,1.0,0.6667,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,http_acl_block,ospf_enterprise_dhcp,m,0204200152,11424,564,2,1,0,74.37,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_crash,dc_clos_service,m,0204200345,12945,579,3,7,1,63.63,4,3,3,3,2,3,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_incorrect_netmask,dc_clos_service,s,0204200522,6081,433,2,1,0,54.08,2,2,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,resource_contention,dns_lookup_latency,dc_clos_service,s,0204200644,6079,632,2,1,0,65.54,2,2,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,http_acl_block,dc_clos_service,m,0204200819,9652,591,2,1,0,46.21,2,2,1,3,1,1,1.0,1.0,0.1,1.0,0.1818,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,network_node_error,flow_rule_shadowing,sdn_star,s,0204200941,5998,493,2,1,0,83.65,2,2,1,3,1,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_crash,simple_bgp,-,0204201144,9181,1006,3,13,4,88.33,4,3,3,3,4,4,1.0,1.0,0.5,1.0,0.6667,1.0,0.5,1.0,0.6667,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_incorrect_ip,sdn_clos,s,0204201346,5974,755,2,1,0,54.81,3,3,2,3,1,2,1.0,1.0,0.5,1.0,0.6667,1.0,0.5,1.0,0.6667,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,network_under_attack,web_dos_attack,dc_clos_service,s,0204201508,6079,653,2,1,0,70.25,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,mac_address_conflict,sdn_star,s,0204201655,6076,716,2,1,0,45.59,2,3,2,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,resource_contention,sender_application_delay,dc_clos_service,m,0204201810,9668,550,2,1,0,48.55,2,1,1,2,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_detach,sdn_clos,m,0204201939,8775,560,2,1,0,59.1,3,2,2,3,1,2,1.0,1.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0,
